x,平均价-首饰-Lv80以下传说首饰（平）,平均价-首饰-Lv85传说首饰（平）,平均价-防具-Lv100堕落的遗影（平）,平均价-防具-Lv100传说防具（平）,平均价-防具-Lv85安徒恩传说防具（平）,平均价-防具-Lv90传说防具（平）,平均价-防具-Lv85远古/魂远古传说防具（平）,平均价-武器-Lv100史诗武器（平）,平均价-武器-Lv90魔枪士传说（平）,平均价-武器-Lv90暗夜使者传说（平）,平均价-武器-Lv85远古/魂远古传说武器（平）,平均价-武器-Lv85安徒恩传说武器（平）,平均价-武器-Lv90传说武器（平）,平均价-武器-Lv90枪手传说（平）,平均价-武器-Lv90圣职者传说（平）,平均价-武器-Lv90魔法师传说（平）,平均价-武器-Lv90格斗家传说（平）,平均价-武器-Lv90鬼剑士传说（平）,平均价-武器-Lv85释魂武器（平）,平均价-材料及消耗品-有色小晶块（平）,平均价-特殊装备-Lv85传说辅助（平）,平均价-特殊装备-Lv85传说魔法石（平）,平均价-附魔卡片及宝珠-神器卡片（平）,平均价-附魔卡片及宝珠-稀有卡片（平）,平均价-附魔卡片及宝珠-使徒宝珠（平）,平均价-材料及消耗品-+12 几率装备强化券 (30天)（平）,平均价-材料及消耗品-+12 几率装备增幅券 (30天)（平）,平均价-材料及消耗品-+7 几率装备增幅券 (30天)（平）,平均价-材料及消耗品-+11 几率装备增幅券 (30天)（平）
17.06.25,6545544.0,6423154.0,,,2066555.0,14004582.0,4384685.0,,13777995.0,13334395.0,3954883.0,2090995.0,16234488.0,17149728.0,15694352.0,14362021.0,14745777.0,22523237.0,10998015.0,87.0,6642353.0,5520336.0,13932678.0,557245.0,49730161.0,97088871.0,225733104.0,5720870.0,83325941.0
17.06.26,6498936.0,6400479.0,,,2096539.0,14042710.0,4387939.0,,13880099.0,13429784.0,3931448.0,2119351.0,16278008.0,17159018.0,15650788.0,14370436.0,14902491.0,22545052.0,10909480.0,89.0,6577734.0,5560590.0,13844829.0,549190.0,49480892.0,96234732.0,221778487.0,5538811.0,83181146.0
17.06.27,6587044.0,6442142.0,,,2158150.0,13873447.0,4428132.0,,13860940.0,13487486.0,3943983.0,2191478.0,16140155.0,17059792.0,15236560.0,14242184.0,14639294.0,22556769.0,10959093.0,89.0,6592553.0,5593644.0,13803602.0,542199.0,49731018.0,94135415.0,222764824.0,5384999.0,82238497.0
17.06.28,6531691.0,6516802.0,,,2206805.0,13888683.0,4490048.0,,14031858.0,13428854.0,3935106.0,2233429.0,16104959.0,17000796.0,15144191.0,14157904.0,14690701.0,22501328.0,10890442.0,89.0,6655908.0,5696650.0,13852431.0,545069.0,50334580.0,95199371.0,223354683.0,5360389.0,82616681.0
17.06.29,6809094.0,6594924.0,,,2305570.0,13794743.0,4567680.0,,13723890.0,13297630.0,3954551.0,2331038.0,15994878.0,16702960.0,14969974.0,14323607.0,14537031.0,22507014.0,10557057.0,88.0,6777620.0,5814844.0,13790961.0,539139.0,50588847.0,94297199.0,219992151.0,5292987.0,82749047.0
17.06.30,6516069.0,6738777.0,,,2423453.0,13598575.0,4598529.0,,13901231.0,12972379.0,3961376.0,2417039.0,15960789.0,16745779.0,14827766.0,14051636.0,14583178.0,22810136.0,10730877.0,86.0,6816027.0,5943573.0,13766981.0,537815.0,50101357.0,97120653.0,225840797.0,5343474.0,81464958.0
17.07.01,6625442.0,6958586.0,,,2504537.0,13684826.0,4637661.0,,13979981.0,13297020.0,4012688.0,2487157.0,16429652.0,17249261.0,15235323.0,14426180.0,14915961.0,23807512.0,11143470.0,85.0,7091877.0,6161010.0,13755692.0,543520.0,51093655.0,92985968.0,219017968.0,4683201.0,79457870.0
17.07.02,6782941.0,7105642.0,,,2518342.0,13845105.0,4629113.0,,14180634.0,13239666.0,4083107.0,2508731.0,16476177.0,17357905.0,15354567.0,14582778.0,14871460.0,23721600.0,10907445.0,84.0,7176893.0,6256405.0,13737202.0,547906.0,49850950.0,91421386.0,214015623.0,4408024.0,77850034.0
17.07.03,7014375.0,7548367.0,,,2610555.0,14164656.0,4672139.0,,14061105.0,13536883.0,4155354.0,2579855.0,16685068.0,17336762.0,15680295.0,14722573.0,14955598.0,24298244.0,10873758.0,83.0,7606070.0,6615158.0,13699109.0,545395.0,50627796.0,89662458.0,208456001.0,4119563.0,76827370.0
17.07.04,7193536.0,7802949.0,,,2685375.0,14225156.0,4706231.0,,14139416.0,13196886.0,4209371.0,2647215.0,16595187.0,17058208.0,15719347.0,14503204.0,14876462.0,24519666.0,10738839.0,83.0,7791356.0,6879565.0,13727911.0,552552.0,50103921.0,89880950.0,208221445.0,4180262.0,76539234.0
17.07.05,7200682.0,8071697.0,,,2773520.0,14354161.0,4817917.0,,14024712.0,13346669.0,4276793.0,2730137.0,16625836.0,17074573.0,15832753.0,14630415.0,14777371.0,24477854.0,10535628.0,83.0,8102625.0,7120985.0,13873678.0,553804.0,51106694.0,91819078.0,209029871.0,4199351.0,75997391.0
17.07.06,7456299.0,8286598.0,,,2848246.0,14421261.0,4886154.0,,14318244.0,13380229.0,4341781.0,2791196.0,16657013.0,17183802.0,15802855.0,14556601.0,14859859.0,24438881.0,10466776.0,82.0,8329513.0,7306624.0,13956424.0,555240.0,51832117.0,92218170.0,209531361.0,4237625.0,76437039.0
17.07.07,7749934.0,8585859.0,,,2990593.0,14259526.0,4943452.0,,13870483.0,13119194.0,4462396.0,2930343.0,16462599.0,16745773.0,15682394.0,14575264.0,14669818.0,24351318.0,10472077.0,82.0,8554855.0,7656406.0,14066406.0,557209.0,52278141.0,94323909.0,213263279.0,4370156.0,77348801.0
17.07.08,7977666.0,8804903.0,,,3054443.0,14076296.0,5006040.0,,13511439.0,12800522.0,4548568.0,2984558.0,16170643.0,16390456.0,15427643.0,14347465.0,14481084.0,23966348.0,10410137.0,81.0,8803901.0,7983788.0,14130569.0,557658.0,53408098.0,95873879.0,215177406.0,4414702.0,77471227.0
17.07.09,8061634.0,8908638.0,,,3085652.0,14085630.0,5064193.0,,13313820.0,12993651.0,4570136.0,2972262.0,16169536.0,16321085.0,15488121.0,14210188.0,14586595.0,23924688.0,10346500.0,81.0,9079314.0,8142085.0,14015834.0,570393.0,53034024.0,96374882.0,217634236.0,4436082.0,77396539.0
17.07.10,7905604.0,8892834.0,,,3096735.0,13998751.0,5060374.0,,13158888.0,12861050.0,4497878.0,2966532.0,15895455.0,16061685.0,15087710.0,14136097.0,14231579.0,23482352.0,10081291.0,82.0,8852112.0,8068021.0,14113977.0,577225.0,52573438.0,97901866.0,220003373.0,4507737.0,79242472.0
17.07.11,7959118.0,8989014.0,,,3131681.0,13940189.0,5054123.0,,13107720.0,12604593.0,4437313.0,2973084.0,15627491.0,15749928.0,14722142.0,13969371.0,13958345.0,23163894.0,10047455.0,82.0,8895021.0,8090499.0,14245532.0,581095.0,53173249.0,99026487.0,221241749.0,4600095.0,80455069.0
17.07.12,8047559.0,9075426.0,,,3211661.0,13808497.0,5148357.0,,12935035.0,12100658.0,4490024.0,3041007.0,15441501.0,15677989.0,14769275.0,13636143.0,13807723.0,22991634.0,9949545.0,82.0,8932399.0,8062336.0,14230201.0,579860.0,53074475.0,99859454.0,221977359.0,4704428.0,81221445.0
17.07.13,8033724.0,9255571.0,,,3339158.0,13658658.0,5183934.0,,12791183.0,11705108.0,4576589.0,3156285.0,15156773.0,15449558.0,14366290.0,13419493.0,13659157.0,22596939.0,9698853.0,82.0,8870405.0,8231861.0,14203036.0,575752.0,52708063.0,101038787.0,225969605.0,4806357.0,82605009.0
17.07.14,8035529.0,9435705.0,,,3448575.0,13515879.0,5304926.0,,12685754.0,11812804.0,4632144.0,3258027.0,14943400.0,15175224.0,13882649.0,13256030.0,13499849.0,22310787.0,9654904.0,81.0,8833892.0,8302609.0,14270465.0,579221.0,53436934.0,102621872.0,227401065.0,4870831.0,83600740.0
17.07.15,7836932.0,9618063.0,,,3500437.0,13521769.0,5267839.0,,12566411.0,11820907.0,4637064.0,3316532.0,14720473.0,14946059.0,13527662.0,13094987.0,13225391.0,21989547.0,9306169.0,81.0,8997202.0,8419962.0,14386077.0,584209.0,54282539.0,104005111.0,226569741.0,4894744.0,83760397.0
17.07.16,7789269.0,9759037.0,,,3511578.0,13443675.0,5340525.0,,12680465.0,12145883.0,4702870.0,3332010.0,14744601.0,14699752.0,13657259.0,13204553.0,13290725.0,21775344.0,9560599.0,82.0,9065709.0,8477110.0,14502357.0,594616.0,55785796.0,104560048.0,229214022.0,4893297.0,84428602.0
17.07.17,7364462.0,10094316.0,,,3543993.0,13388889.0,5404817.0,,12755910.0,12419907.0,4783657.0,3365645.0,14794193.0,14746404.0,13667405.0,13339225.0,13385708.0,21546964.0,9309104.0,82.0,9255167.0,8621516.0,14536162.0,606346.0,55604945.0,104748461.0,231353658.0,4878071.0,84958296.0
17.07.18,7450375.0,10038841.0,,,3563518.0,13446265.0,5425344.0,,13004191.0,12421410.0,4812016.0,3392823.0,14810451.0,14844233.0,13622719.0,13234843.0,13462995.0,21521201.0,9166867.0,83.0,9312216.0,8596486.0,14619455.0,595756.0,56714520.0,104653344.0,231844941.0,4868828.0,84812858.0
17.07.19,7535270.0,10110227.0,,,3598064.0,13538837.0,5465697.0,,13032883.0,12254942.0,4881752.0,3426425.0,14849303.0,14946719.0,13719355.0,13377985.0,13276720.0,21727793.0,9380066.0,82.0,9352876.0,8608241.0,14607722.0,604509.0,55724823.0,104420160.0,231566196.0,4879258.0,84134531.0
17.07.20,7423013.0,10286945.0,,,3667091.0,13510216.0,5511559.0,,12887451.0,12168206.0,4949920.0,3496167.0,14847054.0,15023025.0,13713421.0,13188676.0,13356052.0,21881020.0,9640315.0,82.0,9429164.0,8560461.0,14653466.0,605926.0,56842196.0,104167390.0,234053171.0,4959330.0,84809702.0
17.07.21,7394867.0,9823844.0,,,3573659.0,13461712.0,5341112.0,,12743312.0,11988194.0,4756366.0,3398223.0,14686782.0,14838448.0,13552092.0,13011939.0,13152262.0,21815428.0,9216725.0,82.0,9098736.0,8475148.0,14443259.0,595639.0,55106185.0,104313610.0,228894846.0,4901922.0,84923685.0
17.07.22,7623530.0,9858473.0,,,3503270.0,13831489.0,5385300.0,,13556190.0,12417581.0,4820166.0,3348952.0,15617118.0,15837708.0,14469427.0,13864094.0,14114829.0,23183533.0,9667770.0,81.0,9237718.0,8534587.0,14496845.0,600096.0,54855296.0,102779273.0,231311335.0,4913142.0,83487993.0
17.07.23,7519540.0,10121585.0,,,3626927.0,13915357.0,5497745.0,,13493153.0,12691596.0,4951422.0,3460614.0,15809464.0,16131797.0,14767419.0,14007868.0,14262594.0,23298459.0,9938608.0,82.0,9634200.0,8717165.0,14562763.0,607941.0,56808030.0,105776028.0,238643276.0,4909308.0,84883414.0
17.07.24,7385229.0,10369664.0,,,3738993.0,13537792.0,5573523.0,,13146852.0,12776036.0,5009620.0,3530656.0,15319963.0,15482523.0,14433891.0,13721313.0,14018900.0,21847574.0,9922619.0,83.0,9757431.0,8967419.0,14796630.0,607464.0,59180895.0,106334565.0,241569056.0,4997721.0,87168508.0
17.07.25,7388981.0,10155581.0,,,3718295.0,13297485.0,5527824.0,,12981597.0,12449600.0,4921548.0,3523064.0,14777499.0,15056257.0,13947414.0,13329637.0,13350938.0,20783928.0,9592351.0,82.0,9695219.0,8921657.0,14726302.0,615508.0,59231714.0,108810010.0,240668577.0,4989350.0,88089809.0
17.07.26,7011883.0,10117468.0,,,3734327.0,13214073.0,5578487.0,,12717905.0,12330247.0,4903068.0,3542688.0,14586154.0,14965531.0,13751939.0,13082208.0,13306538.0,20376583.0,9234147.0,82.0,9591627.0,8887870.0,14766360.0,617713.0,59756477.0,109801072.0,241560997.0,4983265.0,88690934.0
17.07.27,7112493.0,10034313.0,,,3768554.0,12912363.0,5581597.0,,12358803.0,11741088.0,4892811.0,3556848.0,13981156.0,14428135.0,13060855.0,12583503.0,12872931.0,19401352.0,8891531.0,81.0,9481574.0,8815162.0,14716783.0,611989.0,58124477.0,110917357.0,242782241.0,4981881.0,88277494.0
17.07.28,6972819.0,9993898.0,,,3753723.0,12589324.0,5607957.0,,11796092.0,11157255.0,4882725.0,3520479.0,13348955.0,13787428.0,12545346.0,12231390.0,12199832.0,18355282.0,8765229.0,81.0,9443407.0,8731037.0,14689631.0,614985.0,59333252.0,111583774.0,246007918.0,4986868.0,87189244.0
17.07.29,6918869.0,9848619.0,,,3692458.0,12358651.0,5559606.0,,11349378.0,10841669.0,4807850.0,3453949.0,12953395.0,13209026.0,12189045.0,11874628.0,11760351.0,18064911.0,8434653.0,81.0,9276375.0,8669998.0,14684317.0,618779.0,60442558.0,114331895.0,247816883.0,4998832.0,88945827.0
17.07.30,6807327.0,9633161.0,,,3611753.0,12210902.0,5444605.0,,11061340.0,10675399.0,4767939.0,3390128.0,12640440.0,12912588.0,11768084.0,11606434.0,11380987.0,17737783.0,8243617.0,81.0,9086242.0,8577511.0,14648077.0,618705.0,60975073.0,117768545.0,251220442.0,5017163.0,90531848.0
17.07.31,6499995.0,9378360.0,,,3561803.0,11976594.0,5400831.0,,10539484.0,10197670.0,4669543.0,3349194.0,12143551.0,12440438.0,11195709.0,11028451.0,11124007.0,17127482.0,8009012.0,81.0,8910225.0,8400308.0,14698598.0,615239.0,61319217.0,119214473.0,250873506.0,5040473.0,93010525.0
17.08.01,6481101.0,9117697.0,,,3567743.0,11889849.0,5338760.0,,10002080.0,9768083.0,4628648.0,3346675.0,11842408.0,12132879.0,10950754.0,10724467.0,10935005.0,16864526.0,8005616.0,81.0,8762219.0,8338753.0,14607418.0,612633.0,62597548.0,117802353.0,255203283.0,5057941.0,93323441.0
17.08.02,6570920.0,9024790.0,,,3620008.0,11709341.0,5353521.0,,9929082.0,9523614.0,4591493.0,3372892.0,11642186.0,11939292.0,10668452.0,10515818.0,10726493.0,16740973.0,8020106.0,81.0,8599357.0,8187292.0,14658358.0,614178.0,62037152.0,119892427.0,256499655.0,5093173.0,94062809.0
17.08.03,6704084.0,9067310.0,,,3680276.0,11524125.0,5402769.0,,10059940.0,9332194.0,4642928.0,3410710.0,11472608.0,11861614.0,10472315.0,10388904.0,10491475.0,16426132.0,7741709.0,81.0,8734182.0,8113884.0,14677435.0,614874.0,61689047.0,121180301.0,259043387.0,5087822.0,95487261.0
17.08.04,6727701.0,9078630.0,,,3681031.0,11231677.0,5424959.0,,9776333.0,8960496.0,4657457.0,3422355.0,11166682.0,11475806.0,10303340.0,10152239.0,10244308.0,15978806.0,7611148.0,81.0,8720161.0,8385966.0,14695419.0,629551.0,63203099.0,121148321.0,256621054.0,5075514.0,95458402.0
17.08.05,6845114.0,9071884.0,,,3644757.0,11046345.0,5428896.0,,9474356.0,8881147.0,4689067.0,3397444.0,10989843.0,11398249.0,10142311.0,9871021.0,10025478.0,15805306.0,7460762.0,82.0,8796325.0,8289842.0,14699932.0,635088.0,63976376.0,120689169.0,256832537.0,5050888.0,95296984.0
17.08.06,7245361.0,8944223.0,,,3567787.0,11079923.0,5308234.0,,9432413.0,9018320.0,4657978.0,3339853.0,11031526.0,11434869.0,10246077.0,9670502.0,10110365.0,15946027.0,7653373.0,83.0,8751580.0,8242622.0,14709711.0,629062.0,61562525.0,121467172.0,261045431.0,5014965.0,95518412.0
17.08.07,7333198.0,8937565.0,,,3541285.0,10919030.0,5302746.0,,9276940.0,8800719.0,4640715.0,3315950.0,10881507.0,11331770.0,10118033.0,9589923.0,9823640.0,15850625.0,7658107.0,83.0,8497457.0,8080586.0,14801470.0,631143.0,62252642.0,123762471.0,260905342.0,4997884.0,94476064.0
17.08.08,7548099.0,8934499.0,,,3562198.0,10828162.0,5338152.0,,9118545.0,8676503.0,4667471.0,3338541.0,10804076.0,11393160.0,9951913.0,9514762.0,9738990.0,15797828.0,7737382.0,84.0,8457010.0,8085610.0,14872467.0,629995.0,64205953.0,122252134.0,260287252.0,4977043.0,94598131.0
17.08.09,7696912.0,8944617.0,,,3617433.0,10721034.0,5394358.0,,9010198.0,8780880.0,4698788.0,3405921.0,10790993.0,11476816.0,9855169.0,9511530.0,9752537.0,15679321.0,7731718.0,83.0,8444560.0,7984504.0,14932276.0,629950.0,67849178.0,122191694.0,260003719.0,4969404.0,94784125.0
17.08.10,7565387.0,8958305.0,,,3681232.0,10600461.0,5494415.0,,9140200.0,8636497.0,4788009.0,3476529.0,10678293.0,11393088.0,9711630.0,9509258.0,9625078.0,15401085.0,7705704.0,83.0,8479307.0,8084753.0,14893094.0,635660.0,64842861.0,121099752.0,263291466.0,4962160.0,94309854.0
17.08.11,7203806.0,9057759.0,,,3692815.0,10406466.0,5583988.0,,9142113.0,8445518.0,4883611.0,3475458.0,10586703.0,11316839.0,9639092.0,9304086.0,9619096.0,15345189.0,7738743.0,83.0,8517380.0,8078529.0,14892564.0,640660.0,65266821.0,121763021.0,260046568.0,4939015.0,94634974.0
17.08.12,7173598.0,8988905.0,,,3639931.0,10280583.0,5591312.0,,8992985.0,8443511.0,4904030.0,3439177.0,10532461.0,11265731.0,9583673.0,9199453.0,9592277.0,15308119.0,7708771.0,83.0,8614382.0,8079631.0,14874769.0,646490.0,62802097.0,119800133.0,259380984.0,4909031.0,93471973.0
17.08.13,7403321.0,9177783.0,,,3610517.0,10351818.0,5548342.0,,8960871.0,8344298.0,4933501.0,3405647.0,10621242.0,11178774.0,9719187.0,9374702.0,9670549.0,15648703.0,7625458.0,84.0,8438435.0,8170520.0,14938430.0,650429.0,64452150.0,119921365.0,260845873.0,4919543.0,93838458.0
17.08.14,6847375.0,9111497.0,,,3592889.0,10297239.0,5525311.0,,8715945.0,8183835.0,4825292.0,3391103.0,10502843.0,11088126.0,9629938.0,9170165.0,9575312.0,15620639.0,7784432.0,84.0,8271107.0,7880455.0,14948728.0,649204.0,63978532.0,120579061.0,262302061.0,4904576.0,95216494.0
17.08.15,7010643.0,9166587.0,,,3602574.0,10248006.0,5525818.0,,8694362.0,8153043.0,4831002.0,3407138.0,10436060.0,11075718.0,9533627.0,9077691.0,9530767.0,15485593.0,7644064.0,84.0,8109058.0,7842813.0,14957083.0,647437.0,64908428.0,123826398.0,262053438.0,4886981.0,96372215.0
17.08.16,6896248.0,9209184.0,,,3636910.0,10219582.0,5588993.0,,8736415.0,8284062.0,4901154.0,3511327.0,10434960.0,11074392.0,9411322.0,9109809.0,9518958.0,15460454.0,7796343.0,83.0,8175749.0,7733315.0,15002664.0,642927.0,66258899.0,124514440.0,260662957.0,4854298.0,96914419.0
17.08.17,6538322.0,9407891.0,,,3689653.0,10100069.0,5619146.0,,8595639.0,8107979.0,4874931.0,4141762.0,10338965.0,11058171.0,9214065.0,9083647.0,9464376.0,15356683.0,7773575.0,83.0,8191382.0,7918166.0,15009054.0,638963.0,66308821.0,124600035.0,267016097.0,4798820.0,97262065.0
17.08.18,6500889.0,9400440.0,,,3685964.0,9963049.0,5640691.0,,8416859.0,7845893.0,4873107.0,4258374.0,10180449.0,10820991.0,9147812.0,8947018.0,9275481.0,15284023.0,7693775.0,83.0,8110316.0,7952880.0,15048785.0,641704.0,66173357.0,125182897.0,267884204.0,4716863.0,97453369.0
17.08.19,6407054.0,9352835.0,,,3677345.0,9934224.0,5670107.0,,8550515.0,7825927.0,4966047.0,4573562.0,10206403.0,10779062.0,9266919.0,8945514.0,9279389.0,15327866.0,7830814.0,83.0,8161914.0,7963951.0,15008667.0,644918.0,68722856.0,125944161.0,267239531.0,4641660.0,96487566.0
17.08.20,6263170.0,9351692.0,,,3694881.0,9996528.0,5757768.0,,8693879.0,8007112.0,5157315.0,4789680.0,10428419.0,11001068.0,9420021.0,9192553.0,9470935.0,15688380.0,7730794.0,84.0,8173216.0,7694248.0,15066089.0,659042.0,68518548.0,126649903.0,271182819.0,4598013.0,96698534.0
17.08.21,6325824.0,9294114.0,,,3705174.0,9970382.0,5823663.0,,8869725.0,8228309.0,5272061.0,4671442.0,10520358.0,11023207.0,9455486.0,9205072.0,9573612.0,15838305.0,7709670.0,85.0,8110789.0,7730108.0,14958572.0,656533.0,66930134.0,128502390.0,272019596.0,4565795.0,97727540.0
17.08.22,6331436.0,9219815.0,,,3720572.0,9814919.0,5874106.0,,8807513.0,8138170.0,5237497.0,4464853.0,10416763.0,10776612.0,9406774.0,9149566.0,9428104.0,15789333.0,7783822.0,85.0,7957681.0,7496801.0,14890047.0,650969.0,66124041.0,126216103.0,269301107.0,4558852.0,98019358.0
17.08.23,6302528.0,9185948.0,,,3761509.0,9578078.0,5922602.0,,8399517.0,8034373.0,5167155.0,4396816.0,10191450.0,10497294.0,9188535.0,8921779.0,9285921.0,15506155.0,7666628.0,85.0,7709201.0,7388896.0,14844615.0,650527.0,68932132.0,123314147.0,270083992.0,4546582.0,97528963.0
17.08.24,6240527.0,9194392.0,,,3855954.0,9323769.0,5937757.0,,8137709.0,7637919.0,5155130.0,4400869.0,9885413.0,10243568.0,8747054.0,8656193.0,8986835.0,15290492.0,7678985.0,84.0,7753641.0,7345094.0,14762607.0,653699.0,69741989.0,121894320.0,270088930.0,4554753.0,97532160.0
17.08.25,6234821.0,9223726.0,,,3905631.0,9310226.0,6010014.0,,8051562.0,7539770.0,5171633.0,4425630.0,9860679.0,10298275.0,8650605.0,8619350.0,8971451.0,15344086.0,7743717.0,84.0,7727119.0,7333053.0,14771185.0,664583.0,71080079.0,122915814.0,269837245.0,4556792.0,97617467.0
17.08.26,6190166.0,9248821.0,,,3930706.0,9265349.0,6014935.0,,7962513.0,7412446.0,5211607.0,4358545.0,9834471.0,10195118.0,8527114.0,8607092.0,8833314.0,15696123.0,7732566.0,83.0,7760621.0,7239584.0,14778237.0,666289.0,71160067.0,122319288.0,273424829.0,4578187.0,96640360.0
17.08.27,6290220.0,9184620.0,,,3888115.0,9372813.0,5990838.0,,8097238.0,7483868.0,5217524.0,4244357.0,10002297.0,10254486.0,8740463.0,8760424.0,8968656.0,16064224.0,7772899.0,83.0,7530297.0,7124064.0,14733073.0,679390.0,68380482.0,120778041.0,269261473.0,4592076.0,95868994.0
17.08.28,6225668.0,9085540.0,,,3852668.0,9383211.0,5976782.0,,8168836.0,7455658.0,5181715.0,4172809.0,9944600.0,10157033.0,8706274.0,8743691.0,8866556.0,15950906.0,7689777.0,84.0,7419873.0,7097707.0,14706060.0,670501.0,70328713.0,120640458.0,269112006.0,4599152.0,95298055.0
